"id_fonte","numero_pubblicazione","tipo_atto","numero_atto","data_atto","oggetto","data_pubblicazione","data_scadenza","url_documento","allegati"
"1","1295/2023","Delibere di giunta","","2023-12-14","Partecipazione alla call europea -Gemellaggi- con il progetto Magna Graecia.-","2023-12-14","2023-12-29","http://albosquillace.asmenet.it/allegati.php?id_doc=14091234&sez=&data1=14/12/2023&data2=29/12/2023","allegati/fonte1/1295/2023/- Del_G.C._n°99_del_13.12.2023.pdf"
"1","1294/2023","Determine Dirigenziali","","2023-12-13","Liquidazione compensi professionali dott. Agronomo forestale Francesco Scalfaro - vertenza Comune di Borgia c/ Comune di Squillace- assistenza operazioni peritali svolte dal CTU.-","2023-12-13","2023-12-28","http://albosquillace.asmenet.it/allegati.php?id_doc=13131254&sez=&data1=13/12/2023&data2=28/12/2023","allegati/fonte1/1294/2023/- Det_n°_738_del_02.11.2023.pdf"
"1","1293/2023","Determine Dirigenziali","","2023-12-13","ditta Critelli Angela fatturan.104/FN determinazione","2023-12-13","2023-12-28","http://albosquillace.asmenet.it/allegati.php?id_doc=13131255&sez=&data1=13/12/2023&data2=28/12/2023","allegati/fonte1/1293/2023/- Det_n°831_del_13.12.2023.pdf"
"1","1292/2023","Ordinanze","","2023-12-13","Cancellazione dall'anagrafe della popolazione residente per irreperibilità - ......","2023-12-13","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=13131227&sez=&data1=13/12/2023&data2=02/01/2024","allegati/fonte1/1292/2023/- Ord. n. 43.pdf"
"1","1291/2023","Ordinanze","","2023-12-13","Cancellazione dall'anagrafe della popolazione residente per irreperibilità -  ....","2023-12-13","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=13121243&sez=&data1=13/12/2023&data2=02/01/2024","allegati/fonte1/1291/2023/- Ord. n. 42.pdf"
"1","1290/2023","Determine Dirigenziali","","2023-12-13","Impegno di spesa ed affidamento incarico professionale per l’espletamento di attività catastali (frazionamento ed accatastamento) su un manufatto edilizio (camera di manovra dell’acquedotto comunale) sito in Località Fiasco Baldaia per regolarizzazione atti catastali - Dott. Geom. Raffaele Rotundo.-","2023-12-13","2023-12-28","http://albosquillace.asmenet.it/allegati.php?id_doc=13121247&sez=&data1=13/12/2023&data2=28/12/2023","allegati/fonte1/1290/2023/- Det_n°830_del_12.12.2023.pdf"
"1","1288/2023","avvisi vari","","2023-12-13","Avviso di deposito atti nella casa comunale ex art. 143 cpc - Sig.Vinci Gerardo Domenico","2023-12-13","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=13121236&sez=&data1=13/12/2023&data2=02/01/2024","allegati/fonte1/1288/2023/- prot. n. 7157.pdf"
"1","1287/2023","avvisi vari","","2023-12-13","Avviso di deposito atti nella casa comunale ex art. 143 cpc - Sig.ra Aiello Alessandra -.","2023-12-13","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=13121245&sez=&data1=13/12/2023&data2=02/01/2024","allegati/fonte1/1287/2023/- Prot. n. 7074.pdf"
"1","1286/2023","avvisi vari","","2023-12-13","Avviso di deposito atti nella casa comunale ex art. 143 cpc - Sig. Pilò Francesco -.","2023-12-13","2024-01-02","http://albosquillace.asmenet.it/allegati.php?id_doc=13111248&sez=&data1=13/12/2023&data2=02/01/2024","allegati/fonte1/1286/2023/- Prot. n. 7006.pdf"
"1","1285/2023","Determine Dirigenziali","","2023-12-13","Impegno di spesa ed affidamento lavori per interventi di manutenzione per il ripristino della pavimentazione in lastre di porfido nel piazzale posto all’intersezione di via degli Aragonesi con corso Guglielmo Pepe.-","2023-12-13","2023-12-28","http://albosquillace.asmenet.it/allegati.php?id_doc=13111218&sez=&data1=13/12/2023&data2=28/12/2023","allegati/fonte1/1285/2023/- Det_n°829_del_12.12.2023.pdf"
