tipo,oggetto,numero_atto,data_atto,doc_principale_url,allegati,data_atto_normalizzata
"1283

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Autorizzazione all'utilizzo di entrate a specifica destinazione per il pagamento di spese correnti .....,7,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8334,"allegati/fonte2/7/Delibera_n_7_Documento_Principale.pdf,allegati/fonte2/7/Del. G.C. n. 7_25.pdf",2025-01-02
"1282

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Anticipazione di tesoreria per l'esercizio 2025 ...,6,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8333,"allegati/fonte2/6/Delibera_n_6_Documento_Principale.pdf,allegati/fonte2/6/Del. G. C. n. 6_25.pdf",2025-01-02
"1281

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta","Approvazione del progetto di fattibilità tecnico-economica ""Realizzazione di una pista ciclabile su via Aiace del comune di Squillace""........Linea di attività 1 -.",5,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8326,"allegati/fonte2/5/Delibera_n_5_Documento_Principale.pdf,allegati/fonte2/5/Del. G.C. n. 5_25.pdf",2025-01-02
"1276

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Variazione in esercizio provvisorio al bilancio di previsione 2024/2026 ...... -.,4,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8318,"allegati/fonte2/4/Delibera_n_4_Documento_Principale.pdf,allegati/fonte2/4/Del. G.C. n. 4_25.pdf,allegati/fonte2/4/Allegato - All del. G.C. n. 4_25.pdf",2025-01-02
"1275

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",scavalco condiviso e di eccedenza .... Area dei funzionari.... presso il comune di Squillace - Determinazioni -.,2,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8316,"allegati/fonte2/2/Delibera_n_2_Documento_Principale.pdf,allegati/fonte2/2/Del. G.C. n. 2_25.pdf,allegati/fonte2/2/Allegato - All. Del. G.C. n. 2_25.pdf",2025-01-02
"1274

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Utilizzo .... responsabile dell'Area Economico- Finanziaria .... presso il Comune di Squillace ....,1,02/01/2025,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8315,"allegati/fonte2/1/Delibera_n_1_Documento_Principale.pdf,allegati/fonte2/1/Del. G.C. n. 1_25.pdf",2025-01-02
"1273

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Riconoscimento della legittimità di debito fuori bilancio derivante da ordinanza ex art. 702 ter cpc ...... Avv. Alfredo Gualtieri/Comune di Squillace .....,40,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8314,"allegati/fonte2/40/Delibera_n_40_Documento_Principale.pdf,allegati/fonte2/40/Del. C.C. n. 40_24.pdf",2024-12-28
"1272

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Riconoscimento della legittimità di debito fuori bilancio .... Avv. Luigi Caristo -.,39,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8313,"allegati/fonte2/39/Delibera_n_39_Documento_Principale.pdf,allegati/fonte2/39/Del. C. C. n. 39_24.pdf",2024-12-28
"1271

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Bilancio di previsione 2024/2026 - Applicazione dell'avanzo di amministrazione accertato sulla base del rendiconto dell'esercizio 2023 ....,38,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8311,"allegati/fonte2/38/Delibera_n_38_Documento_Principale.pdf,allegati/fonte2/38/Del. CC n. 38_24.pdf,allegati/fonte2/38/Allegato - All. del. C.C. n. 38_24.pdf",2024-12-28
"1269

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Adozione del programma triennale OO.PP. 2025/2027 ...... elenco annuale 2025 -.,43,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8308,"allegati/fonte2/43/Delibera_n_43_Documento_Principale.pdf,allegati/fonte2/43/Del .C.C. n. 43_24.pdf,allegati/fonte2/43/Allegato - All. Del C.C. n. 43_24.pdf",2024-12-28
"1268

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Approvazione elenco dei beni immobili......Esercizio annualità 2025 ......,44,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8306,"allegati/fonte2/44/Delibera_n_44_Documento_Principale.pdf,allegati/fonte2/44/Del .C.C. n. 44_24.pdf,allegati/fonte2/44/Allegato - All. Del C.C.n. 44_24.pdf",2024-12-28
"1267

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Verifica delle qualità di aree e fabbricati...... in diritto di proprietà o in diritto di superficie -.,45,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8305,"allegati/fonte2/45/Delibera_n_45_Documento_Principale.pdf,allegati/fonte2/45/Del C.C. n. 45_24.pdf",2024-12-28
"1266

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio","Adesione al R.O.  ..... ""Procedura Semplificata ....""",47,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8304,"allegati/fonte2/47/Delibera_n_47_Documento_Principale.pdf,allegati/fonte2/47/Del C.C. n. 47_24.pdf",2024-12-28
"1265

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Consiglio",Approvazione schema di convenzione per la rateizzazione degli oneri per il servizio di trattamento e smaltimento dei rifiuti -.,41,28/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8302,"allegati/fonte2/41/Delibera_n_41_Documento_Principale.pdf,allegati/fonte2/41/Del. C.C. n. 41_24.pdf,allegati/fonte2/41/Allegato - Conv. Del. C.C. n. 41_24.pdf",2024-12-28
"1251

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Canone idrico - Anno 2025 - Approvazione piano dei costi e determinazione tariffe -.,144,14/11/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=8275,"allegati/fonte2/144/Delibera_n_144_Documento_Principale.pdf,allegati/fonte2/144/Det. G.C. n. 144_24.pdf",2024-11-14
"1207

Mittente
COMUNE DI SQUILLACE  

Tipo
Delibere di Giunta",Approvazione progetti utili alla collettività (P.U.C.) ........,141,14/12/2024,https://portale5.halleysud.it/squillace/mc/mc_attachment.php?mc=1665,"allegati/fonte2/141/Delibera_n_141_Documento_Principale.pdf,allegati/fonte2/141/Del. G.C. n. 141_24.pdf",2024-12-14
